Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
09/11/2018,"Egg, Fried, Large",Lunch,52.0,Grams,102,7.96,7.8,0.47,2.23,0.43,0,237.64,106.8
09/11/2018,"Pork Chop, Center Loin, Pan Fried",Lunch,150.0,Grams,416,24.84,44.87,0,9.2,0,0,138,120
09/11/2018,"Fish Ball, Asian Style, Cooked",Dinner,200.0,Grams,152,1.60,24.60,9,0.40,2.80,0,144,1300
09/11/2018,Xúc Xích Bò (70g),Dinner,3.0,Servings,285,45,n/a,30,n/a,n/a,n/a,n/a,n/a
09/10/2018,"Egg, Fried, Large",Breakfast,250.0,Grams,490,38.27,34.5,2.25,10.72,2.8,0,1142.50,510
09/10/2018,"Ham, Diced",Breakfast,18.0,Grams,49,3.17,4.83,0,1.16,0,0,16.92,10.80
09/10/2018,"Leeks, Cooked",Breakfast,50.0,Grams,16,0.10,0.41,3.81,0.1,1.5,0.50,0,5
09/10/2018,Tofu,Breakfast,60.0,Grams,49,2.88,4.86,1.14,0.6,0,0.72,0,4.20
09/10/2018,"Pork, Ground, Cooked",Breakfast,20.0,Grams,59,4.15,5.14,0,1.54,0,0,18.80,14.60
09/10/2018,"Egg, Fried, Large",Lunch,130.0,Grams,255,19.90,17.71,1.17,5.58,1.8,0,594.10,265.20
09/10/2018,"Ham, Diced",Lunch,20.0,Grams,55,3.52,5.37,0,1.29,0,0,18.80,12
09/10/2018,Tofu,Lunch,60.0,Grams,49,2.88,4.86,1.14,0.6,0,0.72,0,4.20
09/10/2018,"Pork, Ground, Cooked",Lunch,20.0,Grams,59,4.15,5.14,0,1.54,0,0,18.80,14.60
09/10/2018,Banh bot chien,Dinner,300.0,Grams,324,1.98,5.29,198.42,0.66,0,5.29,0,423.29
